word,class
adult,animal
alligator,reptile
amazons,bird
animals,animal
ant,insect
anteater,mammal
ants,insect
apple,tree
apples,tree
aquatic,plant
armadillo,mammal
ashes,tree
babies,animal
baby,animal
bat,mammal
bear,mammal
bears,mammal
beast,animal
beasts,animal
bee,insect
bees,insect
birds,bird
bitch,mammal
box,plant
broom,plant
buffalo,mammal
bull,mammal
bush,plant
caiman,reptile
calf,animal
camel,mammal
cardinal,bird
cat,mammal
cattle,mammal
cereals,plant
chameleon,reptile
chicken,bird
chickens,bird
chipmunk,mammal
cock,bird
colts,animal
copper,insect
cornel,tree
cow,mammal
cows,mammal
coyote,mammal
crab,crustacean
crane,bird
creature,animal
creatures,animal
crocodile,reptile
crops,plant
crow,bird
cuckoo,bird
dam,animal
deer,mammal
dipper,bird
diver,bird
doe,mammal
does,mammal
dog,mammal
dogs,mammal
donkey,mammal
dove,bird
dragon,reptile
drum,fish
duck,bird
ducks,bird
eagles,bird
eel,fish
elder,plant
elephant,mammal
elk,mammal
embryos,plant
entire,mammal
escape,plant
escapes,plant
feline,mammal
female,animal
females,animal
fisher,mammal
fishes,fish
flea,insect
fleas,insect
flies,insect
flowers,flower
fly,insect
fowl,bird
fox,mammal
foxes,mammal
frog,amphibian
frogs,amphibian
game,animal
geese,bird
giant,animal
giants,animal
goat,mammal
goose,bird
gourd,plant
grass,plant
grasshopper,insect
grouse,bird
gum,tree
hare,mammal
hawk,bird
head,animal
heads,animal
hedgehog,mammal
hen,bird
heron,bird
horse,mammal
horses,mammal
human,mammal
humanity,mammal
humans,mammal
hyena,mammal
insects,insect
jackal,mammal
jaguar,mammal
kids,mammal
layers,bird
leopard,mammal
lice,insect
lion,mammal
lizard,reptile
loon,bird
louse,insect
male,animal
males,animal
mammals,mammal
man,mammal
mare,mammal
marrow,plant
may,plant
melon,plant
men,mammal
mice,mammal
mole,mammal
monkey,mammal
monster,animal
monsters,animal
mosquitoes,insect
mouse,mammal
nestling,animal
nestlings,animal
opossum,mammal
owl,bird
oyster,mollusk
palm,tree
parakeet,bird
parrot,bird
partridge,bird
pet,animal
pets,animal
pig,mammal
pigs,mammal
pike,fish
plants,plant
porcupine,mammal
predator,animal
predators,animal
prey,animal
puma,mammal
pumpkin,plant
pup,animal
puppies,mammal
puppy,mammal
queen,insect
rabbit,mammal
racoon,mammal
ram,mammal
rams,mammal
rat,mammal
raven,bird
reed,plant
reeds,plant
reptiles,reptile
rhea,bird
rose,plant
rushes,plant
serpent,reptile
sheep,mammal
simple,plant
sitter,bird
skunk,mammal
snail,mollusk
snake,reptile
snakes,reptile
spider,arachnid
squirrel,mammal
stag,mammal
swallow,bird
swallows,bird
swan,bird
swans,bird
tapir,mammal
tiger,mammal
toad,amphibian
tortoise,reptile
trees,tree
turtle,reptile
ungulate,mammal
vine,plant
vines,plant
vulture,bird
vultures,bird
wasp,insect
whale,mammal
wheat,plant
wolf,mammal
wolverine,mammal
wolves,mammal
woodpecker,bird
worms,worm
young,animal
